GME_NAAM,lat,lng
Albrandswaard,51.8567,4.4039
Norg,53.0661,6.4594
Westvoorne,51.89,4.0664
Haren en Macharen,51.803095,5.561829
Weurt,51.8833,5.7
Putten,52.257861239,5.607955184
Scherpenzeel,52.079166666,5.489444444
Surhuizum,53.2058,6.1789
Hummelo,52.0031,6.2344
Puiflijk,51.8792,5.5903
Gastel,51.2856,5.5539
Roggel en Neer,51.263333333,5.923055555
Voorthuizen,52.1861,5.6067
Ee,53.33,6.1
Nieuwkoop,52.15,4.766666666
Ouderkerk,51.9764,4.6642
Rijnwoude,52.0944,4.5783
Borsele,51.466666666,3.8
Goes,51.5147,3.8258
Hulst,51.3158,4.0539
Kapelle,51.5,3.95
Middelburg,51.5,3.6167
Noord-Beveland,51.575555555,3.761666666
Reimerswaal,51.4333,4.1167
Schouwen-Duiveland,51.6653,3.8842
Sluis,51.35,3.5
Terneuzen,51.293055555,3.833888888
Tholen,51.5847,4.1211
Veere,51.5469,3.5403
Vlissingen,51.45,3.583333333
Emmen,52.783333333,6.9
Montfort,51.1261,5.9486
Dordrecht,51.795833333,4.678333333
Tilburg,51.57,5.07
Zoetermeer,52.061111111,4.493333333
Ede,52.05,5.666666666
Westland,52.0,4.166666666
Den Haag,52.08,4.31
Leiden,52.154444444,4.494722222
Berkelland,52.1167,6.5167
Nijmegen,51.8475,5.8625
Hattem,52.474444444,6.069722222
Harderwijk,52.350555555,5.617222222
Blokzijl,52.7264,5.9617
Meppel,52.703333333,6.191666666
Drachten,53.1,6.1
Coevorden,52.666666666,6.75
Noordoostpolder,52.71,5.705
Schokland,52.638611111,5.771666666
Winterswijk,51.966666666,6.716666666
Wijchen,51.8067,5.7211
Groenlo,52.05,6.616666666
Kessel,51.2919,6.0533
Buren,51.9106,5.3333
Veendam,53.1,6.866666666
Hoogezand-Sappemeer,53.15,6.75
Stadskanaal,52.986388888,6.958888888
Dieren,52.0521,6.0974
Deil,51.8842,5.2442
Schin op Geul,50.85417,5.86944
Tiel,51.8833,5.4333
Nijkerk,52.2167,5.4833
Edam,52.516666666,5.05
Hasselt,52.590833333,6.091111111
Vreeland,52.2297,5.0311
Almere,52.375833333,5.225555555
Gouda,52.018055555,4.705555555
Loosdrecht,52.2,5.133333333
Oegstgeest,52.166666666,4.466666666
Slenaken,50.7678,5.8622
Mesch,50.7631,5.7328
Rijckholt,50.7994,5.7311
Apeldoorn,52.2167,5.95
Leidschendam-Voorburg,52.09,4.39
Elst,51.9156,5.8378
Lemmer,52.8437,5.7093
Doetinchem,51.966666666,6.283333333
Varsseveld,51.943333333,6.459444444
Barneveld,52.1333,5.5833
Elburg,52.4333,5.85
Doesburg,52.016666666,6.133333333
Lelystad,52.516666666,5.483333333
Alkemade,52.2014,4.5881
Gorssel,52.2,6.2
Geesteren,52.1389,6.5264
Geldermalsen,51.8833,5.2833
Buitenpost,53.25,6.15
Bernisse,51.8275,4.2339
Zederik,51.9333,5.0156
Zeewolde,52.333333333,5.516666666
Zevenaar,51.916666666,6.083333333
Zevenhoven,52.1825,4.7789
Zevenhuizen-Moerkapelle,52.0264,4.5808
Barendrecht,51.85,4.533333333
Terschelling,53.4011,5.3314
Schiedam,51.916666666,4.4
Vlieland,53.2583,4.9558
Schiermonnikoog,53.4892,6.2022
Hoogeveen,52.716666666,6.466666666
Ameland,53.4503,5.7536
Katwijk,52.2008,4.4153
Vlaardingen,51.916666666,4.35
Zuidhorn,53.246808333,6.407694444
Alphen aan den Rijn,52.133333333,4.65
Zoeterwoude,52.1136,4.5058
Ridderkerk,51.866666666,4.6
Skarsterlân,52.9667,5.7833
Driebruggen,52.0433,4.7986
Zuidplas,52.0089,4.6167
Zweeloo,52.7936,6.7303
Epe,52.3333,5.9167
Etten,51.9167,6.3364
Gorinchem,51.830555555,4.974166666
Zwijndrecht,51.82399,4.61258
